page_title,domain,pagePath,pageviews
"Internal Revenue Service | An official website of the United States government",www.irs.gov,/,11704005
"Online Account | Internal Revenue Service",sa.www4.irs.gov,/ola/,4842029
"Where's My Refund? | Internal Revenue Service",www.irs.gov,/wheres-my-refund,4726410
"Your account | Internal Revenue Service",www.irs.gov,/your-account,4313948
"Online account for individuals | Internal Revenue Service",www.irs.gov,/payments/online-account-for-individuals,3971179
"Site Index Search | Internal Revenue Service",www.irs.gov,/site-index-search,3597361
"Where's My Refund | Internal Revenue Service",sa.www4.irs.gov,/wmr/,2762391
"Payments | Internal Revenue Service",www.irs.gov,/payments,2573219
"Direct Pay | Internal Revenue Service",www.irs.gov,/payments/direct-pay,2055125
"Refunds | Internal Revenue Service",www.irs.gov,/refunds,1560355
"Get Transcript | Internal Revenue Service",www.irs.gov,/individuals/get-transcript,1344409
"Secure Access | Internal Revenue Service",sa.www4.irs.gov,/secureaccess/ui/,1268919
Log In — TreasuryDirect,www.treasurydirect.gov,/log-in/,1219012
"Where’s My Amended Return? | Internal Revenue Service",www.irs.gov,/filing/wheres-my-amended-return,1198219
"Apply for an Employer Identification Number (EIN) online | Internal Revenue Service",www.irs.gov,/businesses/small-businesses-self-employed/apply-for-an-employer-identification-number-ein-online,1142690
"Tax Withholding Estimator | Internal Revenue Service",www.irs.gov,/individuals/tax-withholding-estimator,1108742
"Secure Access | Internal Revenue Service",la.www4.irs.gov,/secureaccess/ui/,982816
"Let us help you | Internal Revenue Service",www.irs.gov,/help/let-us-help-you,968313
"Online payment agreement application | Internal Revenue Service",www.irs.gov,/payments/online-payment-agreement-application,963493
"Pay your taxes by debit or credit card or digital wallet | Internal Revenue Service",www.irs.gov,/payments/pay-your-taxes-by-debit-or-credit-card,954895
Home — TreasuryDirect,www.treasurydirect.gov,/,887593
BOI E-FILING,boiefiling.fincen.gov,/fileboir,838896
BOI E-FILING,boiefiling.fincen.gov,/,787826
BOI E-FILING,boiefiling.fincen.gov,/boir/html,740492
"Resource Center | U.S. Department of the Treasury",home.treasury.gov,/resource-center/data-chart-center/interest-rates/textview,704087
"Forms and Pubs Index Search | Internal Revenue Service",www.irs.gov,/forms-pubs-search,649283
"Forms & instructions | Internal Revenue Service",www.irs.gov,/forms-instructions,604994
